Nuovo,Categoria,Data_Aggiunta,Copertina,Titolo,Autore,Editore,Descrizione,Link
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/83/776/115/1837761159_w.jpg,Cute'n'cozy Coloring Therapy (Paperback),Zenny Abanales,Skittledog,"Escape into Zenny Albanese's happy and relaxing coloring scenes Welcome to a cozy world of absolute cuteness. Pick up a pen, bring your own colors to one of Zenny Abanales's cozy little drawings . . . then turn the page and carry on until you've created your own chunky keepsake. With over 100 illustrations, this book has hours of relaxing fun!",https://www.booksamillion.com/p/Cutencozy-Coloring-Therapy/Zenny-Abanales/9781837761159
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/63/774/848/1637748485_w.jpg,Unlocking the Last 20% (Hardcover),Tucker Hamilton,Matt Holt Books,"For all those standing at the 80% threshold of their capabilities and who suspect their full potential is within reach, a guide to the oft-hidden paths to reaching one's utmost capacity and finally breaking through the barriers that hold you back from extraordinary achievement. In Unlocking the Last 20% , celebrated fighter test pilot and AI innovation leader Tucker ""Cinco"" Hamilton shares the framework that propelled him from high school dropout to commander of the military's largest flight test organization. Drawing from his myriad experiences flying aircraft, leading combat missions, and pioneering autonomous aircraft systems, Hamilton unveils the crucial mindsets and actions that separate those who merely achieve from those who truly excel. This essential resource delivers actionable strategies for professionals at all career stages seeking to transcend their current performance plateau. Whether you're an established professional looking to break through career stagnation, or a young graduate building the foundation for future success, gain precise, actionable strategies to: Develop visualization techniques that program your mind for breakthrough performance Reflect on and help codify your purpose, laying the foundation of what success looks like Identify and eliminate the hidden distractions preventing your final push to excellence Apply the proven resilience framework that transforms setbacks into catalysts for unprecedented growth Leverage collective wisdom and cutting-edge innovation to amplify your individual capabilities Strike the precise balance between ambition and well-being that sustains long-term exceptional performance This comprehensive guide doesn't just inspire--it equips you with the practical tools to push beyond perceived limitations, establish meaningful success metrics aligned with your values, and catalyze breakthroughs in every aspect of your life. Through compelling personal narratives and practical insights, Unlocking t he Last 20% is a mentor in book form, illustrating how visualization, purpose, preparation, balance, and resilience work in concert to unlock dormant capabilities.",https://www.booksamillion.com/p/Unlocking-Last/Tucker-Hamilton/9781637748480
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/9/79/890/022/9798900220345_w.jpg,Wisdom Untethered (Paperback),Michael A. Singer,New Harbinger Publications,"What if the life you've been searching for is already within you? From the New York Times bestselling author who transformed millions of lives with The Untethered Soul , Living Untethered , and The Surrender Experiment comes a profound new guide to inner freedom and spiritual clarity. In Wisdom Untethered: The Time for Questions , Michael A. Singer offers direct answers to life's deepest challenges: how to find peace amid chaos, how to handle the mind's endless chatter, how to let go of emotional pain, and how to live from the vast awareness that you truly are. In this groundbreaking guide, Singer explores the universal struggles we all face, such as the need to control, the fear of change and surrender, and the illusion that peace lies somewhere outside of ourselves. With clarity and compassion, he reveals that spiritual growth isn't about fixing your outer life--it's about releasing what blocks you from the love, clarity, and freedom that is already within you. Through insightful dialogues and timeless wisdom, Singer illuminates how every challenge--whether in relationships, work, or your own mind--can become a doorway to awakening. Life itself is the ultimate teacher, presenting daily opportunities to relax, release, and return to the calm center of your being. Wisdom Untethered is an invitation to stop struggling and start allowing. To remove everything that stands between you and the boundless freedom of your true Self, where unconditional love, inner stillness, and vibrant energy naturally flow.",https://www.booksamillion.com/p/Wisdom-Untethered/Michael-A-Singer/9798900220345
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/9/79/838/453/9798384533733_w.jpg,Still Here (Hardcover),Submitted2 months ago,B&H Books,"Steven and Mary Beth Chapman, long-time beloved Christian leaders through music and beyond, write a book about marriage that walks through the highs and lows of their story, encouraging readers to build strong marriages on the foundation of Christ.",https://www.booksamillion.com/p/Still-Here/Steven-Curtis-Chapman/9798384533733
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/0/76/424/532/0764245325_w.jpg,Capable (Hardcover),"Sissy Goff, Lpc-Mhsp",Bethany House Publishers,"Discover the Missing Piece of Your Child's Ability to Thrive - Helps parents raise confident, capable children who believe they can do hard things, work to find long-term solutions to problems, and don't give up when faced with complications - Comprehensive guide from renowned counselors and parenting experts - Backed by up-to-date research and filled with practical strategies that actually work Today's kids face unprecedented levels of anxiety, depression, and emotional distress. Despite our best efforts, our children continue to struggle with internal and external pressures that impact their mental health. If we're doing all we can to make sure our kids are happy, why aren't they? Beloved therapists, speakers, and authors Sissy Goff and David Thomas have discovered the key is found in one word: capable . Capable kids are confident kids who don't shrink from challenges. They're resilient kids who get back up when life knocks them down. They're thriving kids because they have a deep belief in their ability to do hard things, overcome roadblocks, and keep moving forward. In Capable , Sissy and David draw on their more than fifty years of combined counseling experience to offer a clinically sound, emotionally attuned, faith-informed approach to help kids build the resilience they need in today's world. Through evidence-based insight and practical guidance, Sissy and David equip you to nurture capability--the internalized belief that a child can face adversity, navigate challenges, manage stress, and build confidence in who they are and who God has made them to be.",https://www.booksamillion.com/p/Capable/Sissy-Goff-Lpc-Mhsp/9780764245329
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/53/875/814/1538758148_w.jpg,Tell Me Where It Hurts (Hardcover),Rachel Zoffness,Grand Central Publishing,"Leading pain expert Dr. Rachel Zoffness bridges the gap between medicine and psychology to get to the heart of understanding--and treating--pain--it's The Body Keeps the Score for chronic pain. Every one of us will experience pain, be it back pain, the pain of childbirth, or living in an aging body. Not a single one of us will escape. But what if everything you thought you knew about pain was ... wrong? We've been told that pain is purely physical, something to do just with bones and body parts. The truth is that pain is constructed by the brain--influenced not just by injuries, but also by emotions, expectations, and environment. This means you have infinitely more control over pain than you ever imagined: because if the brain can change, pain can change. Rooted in cutting-edge neuroscience and rich patient stories, Dr. Rachel Zoffness completely upends the myths we've been sold--finally reconnecting physical and emotional pain, and providing a roadmap for healing. The fact is that chronic pain is treatable. But to do that, we must target the whole person--not just a body part. A groundbreaking, revolutionary book that finally offers access to the world's most powerful painkiller: YOU. ""This book is a must read for anyone struggling with chronic pain. Filled with moving stories and the latest science, Zoffness explains how pain works and why so many treatments fall short. Her message is ultimately a hopeful one: By changing our brains we can lessen our pain. I highly recommend."" ―Anna Lembke, MD, Professor and Medical Director, Stanford Addiction Medicine Dual Diagnosis Clinic, Stanford University, New York Times bestselling author of Dopamine Nation ""In this groundbreaking book, Dr. Zoffness dismantles outdated myths about pain and brilliantly reveals new ways to overcome it. Filled with the latest science, this is a must read for both doctors and patients, and frankly anyone grappling with chronic pain."" ―William W. Li, MD, New York Times bestselling author of Eat To Beat Disease, former faculty at Harvard Medical School",https://www.booksamillion.com/p/Tell-Hurts/Rachel-Zoffness/9781538758144
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/25/043/673/1250436737_w.jpg,Stand (Hardcover),Cory Booker,St. Martin's Press,"In trying times, our nation demands more of us. It is time for good trouble. Senator Cory Booker captivated Americans across the political spectrum in early 2025 with his remarkable 25-hour speech on the Senate floor, when he spoke out eloquently and forcefully against the Trump administration's relentless challenges to civil liberties, government institutions, the rule of law, and our nation's international standing. In the process, Booker outlasted the record for longest continuous Senate floor speech set by segregationist Strom Thurmond during a filibuster of the Civil Rights Act of 1957, which was delivered at another time of great uncertainty for our country when it felt like the odds were hopelessly stacked against justice and unity. Stand expands on that message and offers a compelling vision for the future to readers who are eager to make a difference. It focuses on the virtues that are vital to our success as a nation and the lessons we can draw from past generations of Americans who fought for them. Now is not the time to surrender to cynicism or abandon our most noble ideals. Now is the time to defiantly declare, like our ancestors before us: ""I, too, stand for America."" Stand is a celebration of the Americans who chose to get up in the face of injustice, who championed the uniquely American values central to making our nation a more perfect union, despite seemingly insurmountable obstacles. It is also a guide for today: leadership is not derived from position or title, it comes from action and example.",https://www.booksamillion.com/p/Stand/Cory-Booker/9781250436733
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/9/79/889/414/9798894142494_w.jpg,Smoko Friends Magnet Set (Paperback),Running Press,Rp Minis,"Display all your favorite Smoko friends on any magnetic surface with this adorable miniature magnet set. Specifications: Includes 26 full-color rubber magnets featuring Tayto Potato, Pearl Boba Tea, Lil B Dumpling, Kai Mushroom, and more, as well as a 2-sided illustrated backdrop to build your favorite scenes Illustrated Sticker Book: Includes a 16-page mini sticker book featuring all your favorite Smoko characters Perfect Palm-Sized Gift: A must-have gift item for Smoko fans and the perfect size for stocking stuffers Officially Licensed: Authentic Smoko product",https://www.booksamillion.com/p/Smoko-Friends-Magnet-Set/Running/9798894142494
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/25/039/313/1250393132_w.jpg,Reparenting the Inner Child (Hardcover),Submitted5 days ago,Flatiron Books,"From the #1 New York Times bestselling author of How to Do the Work and How to Be the Love You Seek comes a groundbreaking guide to healing our childhood wounds and rediscovering our full potential As adults, we often fall into patterns that feel irrational or out of character—shutting down, lashing out, people-pleasing, or self-sabotaging. Beneath those reactions lies our inner child, a younger part of us still trying to get its needs met the only way it knows how. We all carry the imprint of our earliest years. Childhood is brief, yet its impact is lifelong. Some parts of us were met with love while other parts were met with silence, criticism, or disapproval. To survive, we learned to adapt—learning to over perform, to hide, or stay small. Most of us made it through with a mix of love and lack. And many of us still protect the parts of ourselves that once felt unsafe. While we can’t change what happened, we can change how it lives within us and impacts our lives today. Reparenting the Inner Child offers a clear, compassionate path to self-integration, combining practical exercises, somatic tools, and guided reflections to help us create the safety, love, and boundaries we've always needed. Through her holistic framework that models individual development, Dr. LePera explains how we can cultivate the emotional maturity and regulation to respond calmly instead of reacting, to embrace desire instead of shame, and to question the stories we've long believed about who we have to be. Enlightening, empowering, and clarifying, Reparenting the Inner Child is a book that will stand the test of time as a comprehensive guide for personal development and healing, and a resource that will forever change the way we understand ourselves.",https://www.booksamillion.com/p/Reparenting-Inner-Child/Flatiron-Author-to-Be-Revealed/9781250393135
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/80/092/434/1800924348_w.jpg,The Bright and Bold Granny Square Card Deck,Leonie Morgan,Search Press,"Mix, match, design and crochet... on the go A must-have card deck of 50 bright and colorful granny square designs, from popular crochet designer Leonie Morgan Innovative and completely visual, this card deck of 50 gorgeous grannies will help you mix and match successful colour and design combinations every time you pick up your hook. The sturdy, stylish box contains 50 colorful cards , each with a gorgeous granny square to make, mix and match. On the front of each 4 x 4in (10x10cm) card is a color photograph of the finished granny square, while on the back you'll find a crochet stitch chart that shows you exactly how to work the square. Simply lay out the cards to easily mix, match and create your own design combinations . Three yarn and hook combination suggestions are given , along with their finished sizes, so that you can plan your projects with ease 32-page booklet, which contains a comprehensive step-by-step guide to reading and understanding crochet charts, with 5 side-by-side examples of pattern and chart instructions to get you started. You'll also find a guide to blocking, 3 different methods for joining your squares together, edging advice and guidance on color selection so that you can achieve colour success every time . The perfect tool to help you mix and match granny square designs for any handmade project, and with 50 colorful designs to choose from and customize, this fun and versatile card deck is the ideal gift for any crocheter, and perfect for visual learners. The card deck is probably one of the best craft ""things"" I've ever seen and I can't crochet What a brilliant idea - absolutely love it - Mary Bird, Woman's Weekly The deck's contents has been curated from the highly acclaimed publication, 100 Bright & Colourful Granny Squares to Mix and Match by Leonie Morgan. Granny Square Card Decks(TM) is a registered trade mark of Search Press Ltd No. UK00004104372 (Sept 24)",https://www.booksamillion.com/p/Bright-Bold-Granny-Square-Card/Leonie-Morgan/9781800924345
