Categoria,Data_Aggiunta,Editore,Copertina,Titolo,Autore,Descrizione,Link
Bestseller,2026-06-10,"Little, Brown",https://static01.nyt.com/bestsellers/images/9780316264839.jpg,The Land And Its People,David Sedaris,"Essays on the passage of time, complicated relationships and some unexpected delights life has to offer.",https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Dial,https://static01.nyt.com/bestsellers/images/9780593733318.jpg,Strangers,Belle Burden,Burden retraces her marriage of 20 years in search of clues to help shape her understanding about its demise and to find a way forward.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Avid Reader,https://static01.nyt.com/bestsellers/images/9781668093801.jpg,The Hero Next Door,Martha Raddatz,The Emmy Award–winning ABC News anchor profiles members of our military who served in the wake of 9/11.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,"Farrar, Straus & Giroux",https://static01.nyt.com/bestsellers/images/9780374621117.jpg,Crisis Of The Common Good,Chris Murphy,The Democratic senator from Connecticut re-examines one of our country’s organizing principles.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Random House,https://static01.nyt.com/bestsellers/images/9780593595121.jpg,All We Say,Ben Rhodes,The former speechwriter for President Obama explicates what it means to be American through this collection of 15 speeches.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Simon Six,https://static01.nyt.com/bestsellers/images/9781668249970.jpg,Take Me To Your Leader,Neil deGrasse Tyson,The astrophysicist depicts what potential encounters with aliens from outer space might be like.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Harper,https://static01.nyt.com/bestsellers/images/9780063422506.jpg,The Invisible Coup,Peter Schweizer,The author of “Blood Money” puts forward his argument that mass migration is a political weapon.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,"Little, Brown",https://static01.nyt.com/bestsellers/images/9780316601306.jpg,Liar'S Kingdom,Andrew Weissmann,The author of “Where Law Ends” argues that a flaw in America’s legal system allows for deceit in our politics.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Viking,https://static01.nyt.com/bestsellers/images/9780593296967.jpg,1929,Andrew Ross Sorkin,The New York Times journalist and CNBC host looks at the fight between Washington and Wall Street that fueled a historic crash of the stock market.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Doubleday,https://static01.nyt.com/bestsellers/images/9780385548533.jpg,London Falling,Patrick Radden Keefe,The author of “Say Nothing” details the efforts by the parents of a 19-year-old Londoner to uncover the truth about his mysterious death and secret life.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Crown,https://static01.nyt.com/bestsellers/images/9780593239803.jpg,"America, U.S.A.",Eddie S. Glaude Jr,"The author of “Begin Again” delves into elements of America’s difficult and complicated past, and what they portend for our future.",https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Broadside,https://static01.nyt.com/bestsellers/images/9780063446533.jpg,Suicidal Empathy,Gad Saad,The host of the podcast “The Saad Truth” argues that what he considers misguided compassion is having a negative impact on society.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Morrow,https://static01.nyt.com/bestsellers/images/9780063451070.jpg,"Dogs, Boys, And Other Things I'Ve Cried About",Isabel Klee,Klee helps foster dogs overcome challenges while she faces her own complications.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Mariner,https://static01.nyt.com/bestsellers/images/9780063360808.jpg,The Case For America,Bret Baier,The chief political anchor for Fox News shares his perspectives on our national character during divisive times.,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Fox News,https://static01.nyt.com/bestsellers/images/9780063515277.jpg,All American Patriotism,Rachel Campos-Duffy,"The co-host of “Fox & Friends Weekend” brings together songs, stories and photographs to celebrate America.",https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Bestseller,2026-06-10,Penguin,https://static01.nyt.com/bestsellers/images/9780143127741.jpg,The Body Keeps The Score,Bessel van der Kolk,"How trauma affects the body and mind, and innovative treatments for recovery.",https://www.nytimes.com/books/best-sellers/combined-print-and-e-book-nonfiction/
Bestseller,2026-06-10,Random House,https://static01.nyt.com/bestsellers/images/9780593129326.jpg,Famesick,Lena Dunham,The author of “Not That Kind of Girl” evaluates the effects that pursuing her creative endeavors had on her.,https://www.nytimes.com/books/best-sellers/combined-print-and-e-book-nonfiction/
Bestseller,2026-06-10,Penguin Press,https://static01.nyt.com/bestsellers/images/9780593832837.jpg,How To Rule The World,Theo Baker,The Stanford University student chronicles his investigation that helped end the tenure of Marc Tessier-Lavigne as the school’s president.,https://www.nytimes.com/books/best-sellers/combined-print-and-e-book-nonfiction/
Bestseller,2026-06-10,Hay House,https://static01.nyt.com/bestsellers/images/9781401971366.jpg,The Let Them Theory,Mel Robbins,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Avery,https://static01.nyt.com/bestsellers/images/9780735211292.jpg,Atomic Habits,James Clear,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Broadside,https://static01.nyt.com/bestsellers/images/9780063351301.jpg,If There Is No God,Dennis Prager with Joel Alperson,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Optimism,https://static01.nyt.com/bestsellers/images/9780593418574.jpg,Unreasonable Hospitality,Will Guidara,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Authors Equity,https://static01.nyt.com/bestsellers/images/9798893311860.jpg,Incorruptible,Eric Ries,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Harrison House,https://static01.nyt.com/bestsellers/images/9781667512549.jpg,18 Days In Heaven,Gabe Poirot,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Grand Central,https://static01.nyt.com/bestsellers/images/9781455570249.jpg,Make Your Bed,William H. McRaven,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,HarperOne,https://static01.nyt.com/bestsellers/images/9780062976581.jpg,"The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Authors Equity,https://static01.nyt.com/bestsellers/images/9798893310153.jpg,"Don'T Believe Everything You Think, Expanded Edition",Joseph Nguyen,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Bestseller,2026-06-10,Grand Central,https://static01.nyt.com/bestsellers/images/9781538771471.jpg,Birth Vibes,Jen Hamilton,,https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Novità,2026-06-10,Penguin Random House,https://images2.penguinrandomhouse.com/cover/9780593446096,Tell Me Everything: Oprah’s Book Club Reader’s Guide,Elizabeth Strout,N/D,https://www.penguinrandomhouse.com/books/706912/tell-me-everything-oprahs-book-club-by-elizabeth-strout/9780593446096/readers-guide/
Novità,2026-06-10,Penguin Random House,https://images2.penguinrandomhouse.com/cover/9780385550369,James (Pulitzer Prize Winner) Reader’s Guide,Percival Everett,N/D,https://www.penguinrandomhouse.com/books/738749/james-by-percival-everett/9780385550369/readers-guide/
Novità,2026-06-10,Penguin Random House,https://images3.penguinrandomhouse.com/cover/9798217384358,Fall of the House of Slaughter #2,Created byJames Tynion IVandWerther Dell’EderaComic Script byTate BrombalIllustrated byAdriano Turtulici,"The Slaughterverse is heating up with the newest installment of the all-new series! Succession is imminent as Victor St. George and his emissaries arrive at the House of Slaughter. With Cecilia out in the field on a clean-up mission, will a play for power occur in her absence? And what exactly is Colin Slaughter up to back at the House?",https://www.penguinrandomhouse.com/books/837367/fall-of-the-house-of-slaughter-2-by-james-tynion-iv/
Novità,2026-06-10,Penguin Random House,https://images4.penguinrandomhouse.com/cover/9798217384341,The Center Holds #4,Comic Script byLarry HamaIllustrated byM.D. Bright,"Public safety comes at a price in this thought-provoking conclusion! In the final chapter of the milestone miniseries by Larry Hama and M.D. “Doc” Bright , the Superheroes Union defeats the seemingly-unbeatable Choler! Despite the resounding victory, their means of securing the safety of the city has ethical repercussions… Will they be able to rebuild their home while they rebuild public trust in superheroes? Or will this be the Union’s final act of heroism together?",https://www.penguinrandomhouse.com/books/837793/the-center-holds-4-by-larry-hama/
Novità,2026-06-10,Penguin Random House,https://images2.penguinrandomhouse.com/cover/9780771030116,The Lost Season,Stacey May Fowles,"One of Indigo’s Most Anticipated Books of 2026. The bestselling author of Baseball Life Advice , Stacey May Fowles returns with the honesty, humour, and heart that readers love in a memoir exploring infertility, motherhood, mental health, and the work demanded of women. After years of struggling with the pain of infertility, Stacey May Fowles had her beautiful daughter. But while motherhood brought with it many joys, it also meant losing so much of what had gotten her through those years of wanting. With her characteristic introspection, Stacey May explores what it means to create life with a traumatized body, the sometimes uncomfortable fit of wearing both motherhood and ambition, and the ways in which our ideas of how a mother moves through the world limit and hurt us—and often sever our connections to one another. The follow up to Baseball Life Advice , a Globe and Mail and National Post best book, The Lost Season is a raw, powerful exploration of undoing and becoming.",https://www.penguinrandomhouse.com/books/240067/the-lost-season-by-stacey-may-fowles/
Novità,2026-06-10,Penguin Random House,https://images1.penguinrandomhouse.com/cover/9780143139287,The Lives of the Caesars,SuetoniusTranslated byTom HollandIntroduction byTom HollandNotes byTom Holland,"A masterful new translation of Suetonius’ renowned biography of the twelve Caesars, bringing to life a portrait of the first Roman emperors in stunning detail A Penguin Classic The ancient Roman empire was the supreme arena, where emperors had no choice but to fight, to thrill, to dazzle. To rule as a Caesar was to stand as an actor upon the great stage of the world. No biographies invite us into the lives of the Caesars more vividly or intimately than those by Gaius Suetonius Tranquillus, written from the center of Rome and power, in the early 2nd century AD. By placing each Caesar in the context of the generations that had gone before, and connecting personality with policy, Suetonius succeeded in painting Rome’s ultimate portraits of power. The shortfalls, foreign policy crises and sex scandals of the emperors are laid bare; we are shown their tastes, their foibles, their eccentricities; we sit at their tables and enter their bedrooms. The result is perhaps the most influential series of biographies ever written. That Rome lives more vividly in people’s imagination than any other ancient empire owes an inordinate amount to Suetonius. Now award-winning author and translator Tom Holland brings us even closer in a new, spellbinding translation. Giving a deeper understanding of the personal lives of Rome’s first emperors, and of how they swayed the fates of millions, The Lives of the Caesars is an astonishing, immersive experience of a time and culture at once familiar and utterly alien to our own. Penguin Classics is the leading publisher of classic literature in the English-speaking world, representing a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",https://www.penguinrandomhouse.com/books/318735/the-lives-of-the-caesars-by-suetonius-translated-with-an-introduction-and-notes-by-tom-holland/
Novità,2026-06-10,Penguin Random House,https://images3.penguinrandomhouse.com/cover/9780735221741,Freedom,Zinzi ClemmonsOn Tour,"“Incredibly perceptive. . . . A stunning testimony from a talented writer who strips off false facades with honesty and vulnerability, and leaves us with a searing question: ‘Can you build a nation based on love?’” —mónica teresa ortiz, BookPage (starred review) ONE OF LIT HUB ‘S MOST ANTICIPATED BOOKS OF 2026 A radically vulnerable and virtuosic inquiry into the pursuit of freedom and the interminable nature of struggle, from the award-winning author of What We Lose Weaving personal reflections with piercing insight and expansive vision across nine brilliant essays, Zinzi Clemmons explores the complexities of the elusive concept of freedom. As the daughter of a South African mother and a Trinidadian America father, she recounts growing up in the largely white, affluent town of Swarthmore, Pennsylvania—and her frequent travels to Johannesburg, where the lofty promise of freedom was all around her. Coming of age amidst the euphoria of South Africa’s first all-race elections, she grapples with the legacy of Nelson Mandela and the shattered hope in the wake of the Obama era. Clemmons critiques the entrenched inequalities that haunt both countries, from the tragic loss of a childhood friend to the violence that often befalls women who have the audacity to be free. In a deft mix of memoir, family history, criticism, and reportage, drawing on a vast range of material from Joan Didion to James Baldwin, political analysis and history to Clemmons’s own experiences across the globe, Freedom is an incendiary exploration of race, sex, class, and inheritance. In elegiac prose, Clemmons trains her discerning eye on American institutions and mythologies, probing the bounds of liberation and autonomy to interrogate our most enduring quest—the relentless pursuit of freedom for all.",https://www.penguinrandomhouse.com/books/547467/freedom-by-zinzi-clemmons/
Novità,2026-06-10,Penguin Random House,https://images1.penguinrandomhouse.com/cover/9780593138380,Allies at War,Tim Bouverie,"An “enthralling and authoritative” ( The Wall Street Journal ) political history of World War II that opens a window onto the difficulties of holding together the coalition that ultimately defeated Hitler—by the acclaimed author of Appeasement “A fine reassessment of Allied politics and diplomacy during the Second World War: impeccably researched, elegantly written and compellingly argued.”— The Times (UK) AN ECONOMIST BEST BOOK OF THE YEAR After the fall of France in June 1940, all that stood between Adolf Hitler and total victory was a narrow stretch of water and the defiance of the British people. Desperate for allies, Winston Churchill did everything he could to bring the United States into the conflict, drive the Soviet Union and Nazi Germany apart, and persuade neutral countries to resist German domination. By early 1942, after the German invasion of Russia and the Japanese attack on Pearl Harbor, the British-Soviet-American alliance was in place. Yet it was an improbable and incongruous coalition, divided by ideology and politics and riven with mistrust and deceit. Churchill, Franklin D. Roosevelt, and Joseph Stalin were partners in the fight to defeat Hitler, but they were also rivals who disagreed on strategy, imperialism, and the future of liberated Europe. Only by looking at their areas of conflict, as well as cooperation, are we able to understand the course of the war and world that developed in its aftermath. Allies at War is a fast-paced, narrative history, based on material drawn from more than a hundred archives. Using vivid, firsthand accounts and unpublished diaries, Bouverie invites readers into the rooms where the critical decisions were made and goes beyond the confines of the Grand Alliance to examine, among other topics, the doomed Anglo-French partnership and fractious relations with General Charles de Gaulle and the Free French, and interactions with Poland, Greece, Francoist Spain and neutral Ireland, Yugoslavia, and Nationalist China. Ambitious and compelling, revealing the political drama behind the military events, Allies at War offers a fresh perspective on the Second World War and the origins of the Cold War.",https://www.penguinrandomhouse.com/books/625330/allies-at-war-by-tim-bouverie/
Novità,2026-06-10,Penguin Random House,https://images3.penguinrandomhouse.com/cover/9780593490235,Two Ships,David S. Reynolds,"“Provocative . . . essential reading for today’s polarized times.” —Henry Louis Gates, Jr. “This is a brilliant conceit, wonderfully executed. . . . David S. Reynolds has found a new and compelling way to explore the infinite complexities of the American story—complexities that shape us still.” —Jon Meacham A revelatory history of American division through the prism of two ships once widely used as symbols in the war of ideas between North and South—a struggle whose echoes remain with us today In the bitterly polarized decades leading up to the American Civil War, it was commonplace to argue that America’s strife could be traced back to the arrival of two ships, less than a year apart— The White Lion , which brought the first enslaved Africans to Jamestown in 1619, and the Mayflower , which brought the Pilgrims to Plymouth Rock in 1620. In a deeper sense, David S. Reynolds shows us, in this magnificent book, those two ships, invoked by Frederick Douglass and many others, stood for two quite distinct realities: the Puritans and the Cavaliers, names and ideologies born in the bloodshed of the English Civil War. The Virginia colony, founded by royalists, was steeped in the ideas of divine right, which flowed down in rigid patriarchal hierarchies. Plymouth Colony’s dissenters to the king and his church, while hardly perfect, carried the seeds of a more egalitarian political vision. These two ships of 1619 and 1620 played a key role in the battle of images and words that marked the roiling fight, and then war, over slavery. As Reynolds shows, there was a long stretch of time in America when everyone knew what Cavaliers and Puritans meant. It was North versus South, but more deeply, it was about whether social hierarchy was the natural order of things. But then, as America descended into the long night of Jim Crow, the metaphor of the two ships went to sleep as well. The meaning of the Mayflower and of Thanksgiving changed as they became mainstream, apolitical ideas. If the ships’ status as cultural touchpoints before the Civil War tells us something vital about that conflict, their forgetting afterward tells us much about why the road to true equality has proved so stony. By dredging up these two ships’ dueling images, the great David S. Reynolds enables us to make the same use of them that Frederick Douglass and his contemporaries did to challenge us, and to give us hope that we are up to the task.",https://www.penguinrandomhouse.com/books/702774/two-ships-by-david-s-reynolds/
Novità,2026-06-10,Penguin Random House,https://images2.penguinrandomhouse.com/cover/9780593468715,That's How They Get You,Edited byDamon YoungOn Tour,"From the Thurber Prize-winning author of What Doesn’t Kill You Makes You Blacker comes a pioneering collection of Black humor from some of the most acclaimed writers and performers at work today • NOW IN PAPERBACK WITH A NEW STORY BY DAMON YOUNG “Crackling, hilarious. . . . You won’t want to miss it.” — People “Completely absorbing.”—Amy Sedaris A critic explores the paradox of finding community in “the dozens” while grieving. A violent town ritual causes an all-too-familiar moral panic. An email thread between friends on why we need an updated Green Book but for public toilets. All across the nation, “Karens” become illegal overnight. These are just a few of the hilarious worlds contained in Damon Young’s groundbreaking anthology featuring the best, funniest, and Blackest essays, short stories, letters, and rants. With words that roast, ignite, and burn while connecting to and coalescing around a singular thesis, That’s How They Get You emphasizes how and why Black American humor is uniquely transfixing. This is a mixture of not just observational anxieties and stream-of-consciousness lucidities but also acute political clarity about America. Edited and with an introduction by Damon Young, the critically acclaimed author of What Doesn’t Kill You Makes You Blacker, the collection features new material from an all-star roster of contributors, including Hanif Abdurraqib, Mahogany L. Browne, Wyatt Cenac, Kiese Laymon, Deesha Philyaw, Roy Wood Jr., and Nicola Yoon.",https://www.penguinrandomhouse.com/books/710192/thats-how-they-get-you-by-damon-young/
